Date,Open,Close,simbolo
2024-08-20 00:00:00-04:00,225.77000427246094,226.50999450683594,AAPL
2024-08-21 00:00:00-04:00,226.52000427246094,226.39999389648438,AAPL
2024-08-22 00:00:00-04:00,227.7899932861328,224.52999877929688,AAPL
2024-08-23 00:00:00-04:00,225.66000366210938,226.83999633789062,AAPL
2024-08-26 00:00:00-04:00,227.2100067138672,227.17999267578125,AAPL
2024-08-20 00:00:00-04:00,166.89999389648438,167.17999267578125,GOOGL
2024-08-21 00:00:00-04:00,165.14999389648438,165.85000610351562,GOOGL
2024-08-22 00:00:00-04:00,167.25999450683594,163.8000030517578,GOOGL
2024-08-23 00:00:00-04:00,164.72000122070312,165.6199951171875,GOOGL
2024-08-26 00:00:00-04:00,166.72999572753906,166.16000366210938,GOOGL
2024-08-20 00:00:00-04:00,177.9199981689453,178.8800048828125,AMZN
2024-08-21 00:00:00-04:00,179.9199981689453,180.11000061035156,AMZN
2024-08-22 00:00:00-04:00,181.3800048828125,176.1300048828125,AMZN
2024-08-23 00:00:00-04:00,177.33999633789062,177.0399932861328,AMZN
2024-08-26 00:00:00-04:00,176.7550048828125,175.5,AMZN
2024-08-20 00:00:00-04:00,528.3499755859375,526.72998046875,META
2024-08-21 00:00:00-04:00,527.1500244140625,535.1599731445312,META
2024-08-22 00:00:00-04:00,537.0,531.9299926757812,META
2024-08-23 00:00:00-04:00,536.9199829101562,528.0,META
2024-08-26 00:00:00-04:00,527.6799926757812,521.1199951171875,META
2024-08-20 00:00:00-04:00,421.70001220703125,424.79998779296875,MSFT
2024-08-21 00:00:00-04:00,424.0799865722656,424.1400146484375,MSFT
2024-08-22 00:00:00-04:00,424.3599853515625,415.54998779296875,MSFT
2024-08-23 00:00:00-04:00,416.9800109863281,416.7900085449219,MSFT
2024-08-26 00:00:00-04:00,416.75,413.489990234375,MSFT
2024-08-20 00:00:00-04:00,128.39999389648438,127.25,NVDA
2024-08-21 00:00:00-04:00,127.31999969482422,128.5,NVDA
2024-08-22 00:00:00-04:00,130.02000427246094,123.73999786376953,NVDA
2024-08-23 00:00:00-04:00,125.86000061035156,129.3699951171875,NVDA
2024-08-26 00:00:00-04:00,129.60000610351562,126.45999908447266,NVDA
2024-08-20 00:00:00-04:00,111.75,110.70999908447266,DELL
2024-08-21 00:00:00-04:00,110.8499984741211,111.69999694824219,DELL
2024-08-22 00:00:00-04:00,112.55000305175781,108.9800033569336,DELL
2024-08-23 00:00:00-04:00,110.3499984741211,112.01000213623047,DELL
2024-08-26 00:00:00-04:00,112.01000213623047,111.63999938964844,DELL
2024-08-20 00:00:00-04:00,219.17999267578125,217.77000427246094,SAP
2024-08-21 00:00:00-04:00,218.82000732421875,218.8699951171875,SAP
2024-08-22 00:00:00-04:00,219.67999267578125,217.25,SAP
2024-08-23 00:00:00-04:00,218.02999877929688,219.14999389648438,SAP
2024-08-26 00:00:00-04:00,217.41000366210938,215.89999389648438,SAP
2024-08-20 00:00:00-04:00,264.95001220703125,261.8399963378906,CRM
2024-08-21 00:00:00-04:00,261.1000061035156,261.0899963378906,CRM
2024-08-22 00:00:00-04:00,261.5,258.5899963378906,CRM
2024-08-23 00:00:00-04:00,261.989990234375,264.0,CRM
2024-08-26 00:00:00-04:00,263.94000244140625,265.3599853515625,CRM
2024-08-20 00:00:00-04:00,137.82000732421875,139.1699981689453,ORCL
2024-08-21 00:00:00-04:00,138.8000030517578,140.1999969482422,ORCL
2024-08-22 00:00:00-04:00,140.6999969482422,138.0800018310547,ORCL
2024-08-23 00:00:00-04:00,138.72999572753906,139.19000244140625,ORCL
2024-08-26 00:00:00-04:00,139.38999938964844,138.92999267578125,ORCL
2024-08-20 00:00:00-04:00,194.58999633789062,196.02999877929688,IBM
2024-08-21 00:00:00-04:00,195.97000122070312,197.2100067138672,IBM
2024-08-22 00:00:00-04:00,197.25,195.9600067138672,IBM
2024-08-23 00:00:00-04:00,196.7899932861328,196.10000610351562,IBM
2024-08-26 00:00:00-04:00,196.0,197.99000549316406,IBM
