symbol,lat,long
AAPL,37.3132,-122.0724
GOOGL,37.4062, -122.078
AMZN,47.6061,-122.3328
META,37.4485,-122.1803
MSFT,47.6740,-122.1215
NVDA,37.3598,-121.9814
DELL,30.4864,-97.6723
SAP,49.2968,-8.6388
CRM,37.7890,-122.3915
ORCL,30.2259,- 97.7145
IBM,41.1265,-73.7140
